,Sentence,Lex_set,Condition,Subj_id,Score
0,統計的機械学習での分析が応用可能で、より精度の高いデータと統計的モデリングが,1,1,1,6
1,統計的機械学習での誤差は、計算モデルによって測定される。誤差関数formula_13は,1,2,1,5
2,統計的機械学習での標本化の手法は、次のようになる。これは、与えられた条件下で学習,1,3,1,3
3,統計的機械学習での学習には、特定の神経細胞領域がどのように機能するかに関する実験的モデル,1,4,1,1
4,世界中の商品情報を、業界の実情や背景を踏まえて発信し、消費者に新たな可能性を提供するための広報,2,1,1,7
5,世界中の商品情報を発信するために日本を代表するローカル紙「週刊東洋経済」を発行していた。創刊当初から、,2,2,1,6
6,世界中の商品情報をまとめ、それらを雑誌に載せるといった、いわば「パワフル雑誌」となっている,2,3,1,1
7,世界中の商品情報を発信するとともに、各都道府県の情報を提供している。また、各種地域情報を発信するため、全国,2,4,1,1
8,情報流通を促進することを目的としている。全国経済産業団体連合会の傘下に入っている。経済産業省と経済産業省資源エネルギー庁,3,1,1,7
9,情報流通を促進するための新たな政策、例えばインターネット普及の促進のための新たな政策、たとえば、通信技術,3,2,1,5
10,情報流通を促進するために、情報流通業者(情報流通エージェントなど)を育成することを目指している。また,3,3,1,1
11,情報流通を促進するためには、販売流通機構の確立が必要である。その第1段階が流通機構,3,4,1,3
12,私たちの強みは、より人間的(すなわち人間の脳)である」という言葉を引用。,4,1,1,6
13,私たちの強みは他者の強みであった。この強みは相手を「強み,4,2,1,5
14,私たちの強みは、他者の弱みである」と教えていた。この主張は後の,4,3,1,3
15,私たちの強みは、その強さであった」 と表現している。「その能力は、,4,4,1,4
16,チームワークを意識して、練習には4年振り(2021年8月時点)の現役復帰,5,1,1,6
17,チームワークを意識して、練習に打ち込めた。小学校の1年でサッカーを始め、中学からは,5,2,1,5
18,チームワークを意識して作られた。2019年7月23日、本作の主要撮影がシカゴで始まった,5,3,1,4
19,チームワークを意識して、「」という曲が生まれた。『Inner Red』は、「」という,5,4,1,2
20,インターネットの配信に使用しているドメインである。2018年4月現在、ユーザーは50.1%がこの,6,1,1,7
21,インターネットのゲーム『ファイナルファンタジーXII』のシナリオライターを務めた。同作者の漫画『ファイナルファンタジーXII,6,2,1,5
22,インターネットのニュースサイトを介した報道を行える「ニュースサイト ニュースサイト フォーチュン,6,3,1,3
23,インターネットのメディアサイト(YouTube)で1位を獲得した。2019年2月、S.I.,6,4,1,2
24,会社でトラブルの原因を追及していた。しかし、この事故は、ボーイングが事故機について検査,7,1,1,7
25,会社でトラブルの原因を解明した後、アメリカへ渡った。2013年の秋、サメの,7,2,1,5
